freq_mhz,dbfs
0.397656,-106.619
0.398437,-138.298
0.399219,-113.652
0.400000,-138.298
0.400781,-117.003
0.401562,-138.298
0.402344,-133.726
0.403125,-138.298
0.403906,-103.732
0.404687,-138.298
0.405469,-113.106
0.406250,-138.298
0.407031,-108.083
0.407812,-138.298
0.408594,-118.375
0.409375,-138.298
0.410156,-125.010
0.410937,-138.298
0.411719,-110.057
0.412500,-138.298
0.413281,-125.138
0.414062,-138.298
0.414844,-135.481
0.415625,-138.298
0.416406,-121.246
0.417187,-138.298
0.417969,-105.326
0.418750,-138.298
0.419531,-116.805
0.420312,-138.298
0.421094,-110.208
0.421875,-138.298
0.422656,-116.854
0.423437,-138.298
0.424219,-111.589
0.425000,-138.298
0.425781,-109.198
0.426562,-138.298
0.427344,-104.597
0.428125,-138.298
0.428906,-102.278
0.429687,-138.298
0.430469,-113.427
0.431250,-138.298
0.432031,-115.635
0.432812,-138.298
0.433594,-110.266
0.434375,-138.298
0.435156,-111.385
0.435937,-138.298
0.436719,-100.385
0.437500,-138.298
0.438281,-106.078
0.439062,-138.298
0.439844,-110.585
0.440625,-138.298
0.441406,-109.025
0.442187,-138.298
0.442969,-109.161
0.443750,-138.298
0.444531,-134.756
0.445312,-138.298
0.446094,-108.190
0.446875,-138.298
0.447656,-151.692
0.448437,-138.298
0.449219,-119.947
0.450000,-138.298
0.450781,-110.371
0.451562,-138.298
0.452344,-104.269
0.453125,-138.298
0.453906,-112.102
0.454687,-138.298
0.455469,-109.931
0.456250,-138.298
0.457031,-109.888
0.457812,-138.298
0.458594,-101.174
0.459375,-138.298
0.460156,-106.350
0.460937,-138.298
0.461719,-107.355
0.462500,-138.298
0.463281,-123.596
0.464062,-138.298
0.464844,-105.570
0.465625,-138.298
0.466406,-99.602
0.467187,-138.298
0.467969,-116.954
0.468750,-138.298
0.469531,-110.652
0.470312,-138.298
0.471094,-104.050
0.471875,-138.298
0.472656,-125.902
0.473437,-138.298
0.474219,-125.816
0.475000,-138.298
0.475781,-118.646
0.476562,-138.298
0.477344,-114.429
0.478125,-138.298
0.478906,-107.991
0.479687,-138.298
0.480469,-103.951
0.481250,-138.298
0.482031,-106.349
0.482812,-138.298
0.483594,-105.382
0.484375,-138.298
0.485156,-111.699
0.485937,-138.298
0.486719,-103.072
0.487500,-138.298
0.488281,-109.193
0.489062,-138.298
0.489844,-109.569
0.490625,-138.298
0.491406,-106.223
0.492187,-138.298
0.492969,-104.682
0.493750,-138.298
0.494531,-100.244
0.495312,-138.298
0.496094,-122.799
0.496875,-138.298
0.497656,-120.359
0.498437,-138.298
0.499219,-107.609
0.500000,-138.298
0.500781,-122.651
0.501562,-138.298
0.502344,-112.890
0.503125,-138.298
0.503906,-127.790
0.504687,-138.298
0.505469,-107.247
0.506250,-138.298
0.507031,-114.906
0.507812,-138.298
0.508594,-102.550
0.509375,-138.298
0.510156,-115.548
0.510937,-138.298
0.511719,-101.134
0.512500,-138.298
0.513281,-110.625
0.514062,-138.298
0.514844,-107.244
0.515625,-138.298
0.516406,-108.861
0.517187,-138.298
0.517969,-116.838
0.518750,-138.298
0.519531,-106.736
0.520312,-138.298
0.521094,-139.288
0.521875,-138.298
0.522656,-107.570
0.523437,-138.298
0.524219,-124.515
0.525000,-138.298
0.525781,-105.377
0.526562,-138.298
0.527344,-134.779
0.528125,-138.298
0.528906,-102.873
0.529687,-138.298
0.530469,-103.315
0.531250,-138.298
0.532031,-129.182
0.532812,-138.298
0.533594,-109.590
0.534375,-138.298
0.535156,-103.193
